rights (af),opt. low (af),opt. high (af),xi (-),alpha 1-4 (-),beta 1-4 (-),alpha 5-12 (-),beta 5-12 (-),rel. (-),crit. rel. (-),leases (#),surplus (af),cost ($),dropped (af),cost var. (-),dr. trans. ($)
39334,12735,12985,0.225960581,1.47689194,1.592968128,1.453488734,1.752205407,-0.989416667,-0.999083333,2.983,19683.18703,10492235.7,34320.58264,1.195965204,127305
32728,9553,9866,0.326185623,1.480171216,1.575570185,1.086338011,1.338476035,-0.996416667,-0.999833333,6.769,10960.85853,9113011.723,19205.51843,1.199265921,354105
33412,12844,12852,0.121596218,1.255766409,1.600644223,1.483210885,1.707413605,-0.9965,-0.999833333,5.901,15756.44859,9993925.716,54697.03936,1.157550007,187980
55688,5397,5439,0.151238552,1.738073639,1.978701728,1.214627529,1.242671828,-0.988583333,-0.999583333,0.793,57478.42047,12927547.4,540.9559527,1.119454347,0
59694,7771,7771,0.300518602,1.759042928,2.01899134,1.321578926,1.331875995,-0.990416667,-0.999166667,0.753,69342.81716,13948907.48,489.1176729,1.0991125,0
43335,19883,20206,0.365336919,1.620688912,1.694189503,1.402322368,1.706106045,-0.992333333,-0.999333333,1.188,25227.41308,11287131.35,17304.22125,1.195201031,70920
49846,20000,20533,0.390171891,1.782006943,1.782006943,1.156041713,1.188002233,-0.984083333,-0.99925,1.749,39982.91411,12413060.5,769.8569239,1.136811134,0
49393,18155,18155,0.193536427,1.712275513,1.769933841,1.372478353,1.372478353,-0.989083333,-0.998083333,1.861,39765.72988,12229771.51,2034.819595,1.139695033,14270
34056,12869,12919,0.205476058,1.37090839,1.478687214,1.484887661,1.655453179,-0.986083333,-0.999,5.084,15292.04798,9907222.08,47430.9935,1.137344377,168885
32593,13877,14027,0.371060189,1.44382052,1.486942828,1.616398746,1.71282579,-0.988833333,-0.999333333,5.668,15598.53902,9900721.908,56683.1615,1.136522833,197640
45473,20000,20253,0.316411928,1.577213021,1.675435714,1.346313988,1.350386383,-0.988833333,-0.99825,2.661,29747.41925,11498996.32,3539.158867,1.159099855,177315
45018,20000,20000,0.135175577,1.614917631,1.653381076,1.49714851,1.764242103,-0.98575,-0.998166667,1.105,29160.99736,11588268.45,14979.10568,1.179232899,62565
32957,12403,12915,0.110890245,1.400677089,1.444507289,1.491976534,1.643448386,-0.984916667,-0.999166667,6.21,15014.90856,9779259.177,50201.01937,1.13965133,179565
31840,18455,18563,0.255410987,1.348255617,1.436040087,1.878527091,1.985396596,-0.984833333,-0.999416667,5.149,19221.05138,10551391.23,90486.15609,1.116734753,268560
31879,8238,8533,0.185356811,1.420324255,1.505534575,1.299985021,1.325156905,-0.992833333,-0.99975,13.414,10698.05894,8990426.516,19754.87769,1.175248028,352465
45597,9067,9389,0.381994789,1.624310243,1.627102061,1.337474324,1.342886023,-0.9815,-0.997416667,2.918,29747.12971,10948437.27,3338.171755,1.1590356,167080
30286,8562,8887,0.164836016,1.529406404,1.534917654,0.979636733,1.333410032,-0.996083333,-1,10.908,9828.055187,8830662.168,19693.94173,1.19691969,358650
37911,8031,8309,0.256901292,1.467471718,1.613029632,1.216419183,1.476374282,-0.992583333,-0.9995,4.925,15706.24203,9830026.543,19698.21624,1.195868183,264930
